hanzi,pinyin,english,page
感性,gǎnxìng,emotional; perceptual,43
干部,gànbù,cadre,43
干事,gànshi,executive secretary,43
刚毅,gāngyì,resolute,43
纲领,gānglǐng,program,43
纲要,gāngyào,outline,44
钢,gāng,steel,44
缸,gāng,vat; jar; crock,44
港,gǎng,port,44
杠铃,gànglíng,barbell,44
高昂,gāo'áng,"v. to hold high (one's head, etc.); adj. high",44
高傲,gāo'ào,arrogant,44
高超,gāochāo,superb,44
高低,gāodī,high and low,44
高调,gāodiào,high key; a lofty tone,44
高额,gāo'é,a high quota,44
高尔夫球,gāo'ěrfūqiú,golf,44
高峰期,gāofēngqī,peak period,44
高贵,gāoguì,noble,44
高空,gāokōng,high altitude,44
高龄,gāolíng,n. advanced age; adj. aged; elderly,44
高明,gāomíng,clever; brilliant,44
高山,gāoshān,high mountain,44
高效,gāoxiào,highly efficient,44
高新技术,gāoxīnjìshù,high-tech,44
高血压,gāoxuèyā,hypertension,44
高压,gāoyā,high pressure,44
高雅,gāoyǎ,elegant,44
高涨,gāozhǎng,"v. to rise; adj. running high (of tension, etc.)",44
搞鬼,gǎoguǐ,to make mischief,44
搞笑,gǎoxiào,to be funny,44
告,gào,to tell; to announce; to sue,44
告辞,gàocí,to take leave of,44
告诫,gàojiè,to admonish,44
告示,gàoshi,official notice,44
告知,gàozhī,to inform,45
告状,gàozhuàng,to lodge a complaint against,45
戈壁,gēbì,the Gobi Desert,45
胳膊,gēbo,arm,45
鸽子,gēzi,pigeon,45
搁,gē,to put,45
搁浅,gēqiǎn,to be stranded; to run aground,45
搁置,gēzhì,to put on hold; to lay aside,45
割,gē,to cut,45
歌剧,gējù,opera,45
歌颂,gēsòng,to sing the praises of,45
歌舞,gēwǔ,song and dance,45
歌咏,gēyǒng,to sing,45
革命,gémìng,v. to revolve; adj. revolutionary,45
格,gé,grid,45
格格不入,gégébúrù,incompatible with,45
格局,géjú,pattern,45
格式,géshi,format,45
隔阂,géhé,misunderstanding; estrangement,45
隔离,gélí,to isolate,45
个案,gè'àn,an indiviual or special case,45
个头儿,gètóur,height,45
各奔前程,gèbènqiánchéng,to go one's own way; to lead one's own life,45
各式各样,gèshìgèyàng,all kinds of,45
根基,gēnjī,foundation,45
根深蒂固,gēnshēndìgù,ingrained; deep-rooted,45
根源,gēnyuán,source,45
根治,gēnzhì,to cure once and for all,45
跟不上,gēn bu shàng,unable to keep up,45
跟上,gēnshang,to keep up,45
跟踪,gēnzōng,to track; to trail,46
更改,gēnggǎi,to change,46
更衣室,gēngyīshì,locker room,46
耕地,gēngdì,arable land,46
耿直,gěngzhí,upright; honest,46
工地,gōngdì,construction site,46
工会,gōnghuì,union,46
工科,gōngkē,engineering course,46
工商界,gōngshāngjiè,industry and commerce,46
工序,gōngxù,procedure,46
工整,gōngzhěng,elegant; exquisite,46
工作量,gōngzuòliàng,workload,46
弓,gōng,bow,46
公安局,gōng'ānjú,public security bureau,46
公车,gōngchē,bus,46
公道,gōngdao,just; impartial,46
公费,gōngfèi,public funds,46
公共场所,gōnggòng,public places,46
公关,gōngguān,public relations,46
公函,gōnghán,official letter,46
公积金,gōngjījīn,public reserve fund,46
公开信,gōngkāixìn,open letter,46
公款,gōngkuǎn,public funds,46
公立,gōnglì,"public (school, hospital, etc.)",46
公墓,gōngmù,cemetery,46
公仆,gōngpú,public servant,46
公顷,gōngqǐng,hectare,46
公然,gōngrán,openly,46
公示,gōngshì,to publicize; to make known,46
公事,gōngshì,public affairs,47
公务,gōngwù,official duties,47
公益,gōngyì,public welfare,47
公益性,gōngyìxìng,the public good,47
公用,gōngyòng,to be used by the public; communal,47
公寓,gōngyù,apartment,47
公约,gōngyuē,convention,47
公证,gōngzhèng,to notarize,47
公职,gōngzhí,public office,47
功,gōng,achievement,47
功臣,gōngchén,a minister who has rendered outstanding service,47
功底,gōngdǐ,knowledge of the fundamentals,47
功劳,gōngláo,credit; contribution,47
功力,gōnglì,skill,47
功率,gōnglǜ,power,47
功效,gōngxiào,effect,47
攻,gōng,to attack,47
攻读,gōngdú,to study diligently,47
攻关,gōngguān,to tackle key issues,47
供,gōng,to supply,47
供不应求,gōngbúyìngqiú,Supply is less than demand.,47
供暖,gōngnuǎn,to provide heating,47
供求,gōngqiú,supply and demand,47
宫殿,gōngdiàn,palace,47
宫廷,gōngtíng,palace; royal court,47
恭维,gōng∙wéi,to compliment,47
恭喜,gōngxǐ,to congratulate,47
拱,gǒng,to arch,47
共鸣,gòngmíng,to resonate,47
共识,gòngshí,consensus,47
共同体,gòngtóngtǐ,community,48
共性,gòngxìng,commonality,48
供奉,gòngfèng,v. to worship; n. worship,48
勾,gōu,to hook; to delineate,48
勾画,gōuhuà,to outline; to delineate,48
勾结,gōujié,to collude with,48
钩,gōu,to hook,48
钩子,gōuzi,hook,48
构思,gòusī,to conceive; to compose; to design,48
构想,gòuxiǎng,v. to conceptualize; n. conceptualization,48
购,gòu,to purchase,48
够呛,gòuqiàng,enough; unbearable,48
估算,gūsuàn,to estimate,48
沽n 钓誉,gūmíngdiàoyù,to angle for undeserved fame; to fish for compliments,48
孤单,gūdān,lonely,48
孤立,gūlì,adj. isolated; v. to isolate,48
孤零零,gūlínglíng,solitary,48
孤陋寡闻,gūlòuguǎwén,ignorant,48
辜负,gūfù,to disappoint; to let down,48
古董,gǔdǒng,antique,48
古怪,gǔguài,eccentric,48
古迹,gǔjì,historic site,48
古今中外,gǔjīnzhōngwài,at all times and in all countries,48
古朴,gǔpǔ,quaint,48
古人,gǔrén,the ancients,48
股份,gǔfèn,shares,48
股民,gǔmín,shareholder,48
股市,gǔshì,stock market,48
骨干,gǔgàn,backbone; mainstay,48
骨气,gǔqì,moral integrity; backbone,49
骨折,gǔzhé,to fracture,49
鼓v,gǔdòng,to encourage,49
鼓舞,gǔwǔ,v. to inspire; adj. inspiring,49
固然,gùrán,of course,49
固执,gùzhi,stubborn,49
故,gù,"adv., conj. so",49
顾不得,gùbu∙dé,unable to change something,49
顾不上,gùbushàng,unable to attend to,49
顾及,gùjí,to take into account,49
顾虑,gùlǜ,n. concern; v. to concern,49
顾全大局,gùquándàjú,to consider the overall situation,49
雇,gù,to hire,49
雇佣,gùyōng,to hire,49
雇员,gùyuán,employee,49
雇主,gùzhǔ,employer,49
瓜分,guāfēn,to carve up; to partition,49
瓜子,guāzǐ,melon seed,49
刮风,guā fēng,windy; to blow (of wind),49
寡妇,guǎfu,widow,49
挂钩,guàgōu,hook; coupling,49
挂号,guàhào,to register; to take a number,49
挂念,guàniàn,to miss,49
挂失,guàshī,"report the loss of (identity papers,cheques,etc.)",49
乖,guāi,good,49
乖巧,guāiqiǎo,clever,49
拐弯,guǎiwān,n. turn; corner; v. to turn the corner; to make a turn,49
拐杖,guǎizhàng,crutch,49
怪不得,guàibude,"adv., v. no wonder",49
怪物,guàiwu,monster,50
怪异,guàiyì,weird,50
关掉,guāndiào,turn off,50
关节,guānjié,joint (anatomy); key point,50
关税,guānshuì,tariff,50
关头,guāntóu,junction,50
关照,guānzhào,to care,50
观测,guāncè,to observe,50
观感,guāngǎn,observations,50
观摩,guānmó,to observe and emulate,50
观赏,guānshǎng,to watch and admire,50
观望,guānwàng,to wait and see,50
官兵,guānbīng,officers and soldiers,50
官吏,guānlì,government official,50
官僚,guānliáo,bureaucracy,50
官僚主义,guānliáo zhǔyì,bureaucratism,50
官员,guānyuán,official,50
棺材,guāncai,coffin,50
管家,guǎnjiā,housekeeper,50
管教,guǎnjiào,v. to discipline; n. discipline,50
管理费,guǎnlǐfèi,management fee,50
管辖,guǎnxiá,to have jurisdiction over,50
管用,guǎnyòng,to be of use; to be effective,50
管子,guǎnzi,tube,50
贯彻,guànchè,to implement,50
贯穿,guànchuān,to penetrate,50
贯通,guàntōng,to link up; to be well versed in,50
惯,guàn,to be used to; to be accustomed,50
惯例,guànlì,convention,50
惯性,guànxìng,inertia,50
灌,guàn,to pour,51
灌溉,guàngài,to irrigate,51
灌输,guànshū,to instill,51
罐,guàn,can; tin,51
罐头,guàntou,can; tin,51
光彩,guāngcǎi,n. glory; adj. glorious,51
光碟,guāngdié,disk; CD,51
光顾,guānggù,to patronize; to visit as a customer,51
光滑,guānghuá,smooth,51
光环,guānghuán,halo,51
光缆,guānglǎn,optical cable,51
光芒,guāngmáng,rays of light,51
光明磊落,guāngmínglěiluò,to be perfectly open in all one's actions,51
光泽,guāngzé,luster,51
广义,guǎngyì,general sense,51
归根到底,guīgēndàodǐ,in the final analysis,51
归还,guīhuán,to return,51
归结,guījié,to conclude,51
归来,guīlái,to return,51
归纳,guīnà,to induct,51
归属,guīshǔ,to belong to,51
归宿,guīsù,final destination; permanent home,51
龟,guī,turtle,51
规格,guīgé,specification,51
规矩,guīju,n. rule; adj. disciplined,51
闺女,guīnü,daughter,51
瑰宝,guībǎo,treasure,51
轨迹,guǐjì,trajectory; path,51
柜台,guìtái,counter,51
贵宾,guìbīn,VIP,51
贵重,guìzhòng,precious,52
贵族,guìzú,noble,52
桂花,guìhuā,Osmanthus fragrans,52
滚动,gǔndòng,to scroll (on a computer); to roll,52
棍,gùn,stick,52
棍子,gùnzi,stick,52
国宝,guóbǎo,national treasure,52
国防,guófáng,national defense,52
国画,guóhuà,traditional Chinese painting,52
国徽,guóhuī,national emblem,52
国情,guóqíng,national conditions,52
国土,guótǔ,land,52
国学,guóxué,studies of ancient Chinese culture,52
国有,guóyǒu,to be stateowned,52
果断,guǒduàn,decisive,52
果园,guǒyuán,orchard,52
果真,guǒzhēn,adv. as expected; conj. If really,52
裹,guǒ,to wrap,52
过半,guòbàn,to be more than half,52
过不去,guòbuqù,to make life difficult for,52
过错,guòcuò,fault,52
过道,guòdào,aisle; corridor,52
过关,guòguān,to pass a barrier,52
过奖,guòjiǎng,(self-deprecating) to overpraise; to flatter,52
过节,guòjié,to celebrate a holiday,52
过境,guòjìng,transit,52
过滤,guòlǜ,to filter,52
过期,guòqī,expired,52
过日子,guò rìzi,to live life; to pass one's days,52
过剩,guòshèng,to exceed,52
过失,guòshī,fault; error,53
过头,guòtóu,v. to overdo it; adv. excessively,53
过往,guòwǎng,v. to come and go; n. past,53
过意不去,guòyìbúqù,to feel apologetic,53
过瘾,guòyǐn,to satisfy a craving; to enjoy oneself to the fullest,53
过硬,guòyìng,to have perfect mastery of,53
过早,guò zǎo,premature,53
海岸,hǎi'àn,coastal,53
海拔,hǎibá,altitude,53
海滨,hǎibīn,seaside,53
海盗,hǎidào,pirate,53
海量,hǎiliàng,magnanimity,53
海绵,hǎimián,sponge,53
海面,hǎimiàn,sea surface,53
海内外,hǎi nèiwài,at home and abroad,53
海滩,hǎitān,beach,53
海峡,hǎixiá,strait,53
海啸,hāixiào,tsunami,53
海域,hǎiyù,waters; martitime space,53
海运,hǎiyùn,to ship (goods),53
海藻,hǎizǎo,seaweed,53
骇人听闻,hàiréntīngwén,appalling,53
害虫,hàichóng,pest; destructive insect,53
害臊,hàisào,ashamed; bashful,53
害羞,hàixiū,shy,53
酣畅,hānchàng,unrestrained; with ease and verve,53
酣睡,hānshuì,to sleep soundly,53
含糊,hánhu,vague,53
含蓄,hánxù,v. to be implicit; n. implicit,53
函授,hánshòu,to teach by correspondence,53
涵盖,hángài,to cover,54
涵义,hányì,meaning; implication,54
罕见,hǎnjiàn,rare,54
汗水,hànshuǐ,sweat,54
旱,hàn,dry,54
旱灾,hànzāi,drought,54
捍卫,hànwèi,to defend,54
焊,hàn,to weld,54
行家,hángjia,expert,54
行列,hángliè,ranks,54
行情,hángqíng,market price,54
航海,hánghǎi,to navigate on the sea,54
航天,hángtiān,to fly or travel in space,54
航天员,hāngtiānyuán,astronaut,54
航行,hángxíng,to sail,54
航运,hángyùn,shipping,54
毫不,háo bù,not,54
毫不犹豫,háo bù yóuyù,to not hesitate,54
毫无,háo wú,none,54
豪华,háohuá,luxurious,54
好比,hǎobǐ,liken to something else,54
好歹,hǎodǎi,n. good and bad; adv. anyway,54
好感,hǎogǎn,good opinion,54
好坏,hǎohuài,good or bad,54
好家伙,hǎojiāhuo,Wow!; Oh boy!,54
好评,hǎopíng,praise,54
好说,hǎoshuō,No big deal; You flatter me,54
好笑,hǎoxiào,funny,54
好心,hǎoxīn,kindness,54
好心人,hǎoxīnrén,kind person,54
好意,hǎoyì,kindness,55
好在,hǎozài,fortunately,55
号称,hàochēng,to be known as; to be nicknamed,55
好客,hàokè,hospitable,55
好奇心,hàoqíxīn,curiosity,55
耗,hào,to consume,55
耗费,hàofèi,to consume; to expend,55
耗时,hàoshí,time consuming,55
浩劫,hàojié,catastrophe,55
呵护,hēhù,to take good care of,55
禾苗,hémiáo,seedlings,55
合唱,héchàng,to sing in chorus,55
合乎,héhū,to conform with; to correspond to,55
合伙,héhuǒ,to form a partnership,55
合计,héjì,to add up,55
合情合理,héqínghélǐ,reasonable,55
合影,héyǐng,group photo,55
合资,hézī,to enter into a partnership,55
合作社,hézuòshè,cooperative; co-op,55
何必,hébì,why,55
何处,hé chù,where,55
何苦,hékǔ,why bother?,55
何况,hékuàng,not to mention; what's more,55
何时,hé shí,when,55
和蔼,hé'ǎi,amiable,55
和解,héjiě,to become reconciled,55
和睦,hémù,harmonious,55
和平共处,hépíng gòngchǔ,peaceful coexistence,55
和气,héqi,adj. harmonious; n. harmony,55
和尚,héshang,monk,55
河流,héliú,river,56
河畔,hépàn,riverside,56
荷花,héhuā,lotus,56
核,hé,nuclear,56
核电站,hédiànzhàn,nuclear power plant,56
核对,héduì,to check,56
核能,hénéng,nuclear energy,56
核实,héshí,to verify,56
核桃,hétao,walnut,56
核武器,héwǔqì,nuclear weapon,56
贺电,hèdiàn,congratulatory letter,56
贺信,hèxìn,congratulatory letter,56
喝彩,hècǎi,to acclaim; to cheer,56
赫然,hèrán,impressively; terribly (angry),56
鹤立鸡群,hèlìjīqún,to stand head and shoulders above the rest; obviously superior,56
黑白,hēibái,black and white,56
黑客,hēikè,hacker,56
黑马,hēimǎ,dark horse (figurative),56
黑手,hēishǒu,a vicious person manipulating sb. or sth. from behind the scenes,56
黑心,hēixīn,adj. evil; n. black heart,56
嘿,hēi,hey,56
痕迹,hénjì,trace,56
恨不得,hènbude,cannot wait to do something,56
哼,hēng,humph,56
横七竖八,héngqīshùbā,in disorder,56
横向,héngxiàng,horizontal,56
横,hèng,horizontal,56
轰,hōng,v. to explode; ono. boom,56
轰动,hōngdòng,to cause a sensation,56
轰炸,hōngzhà,to bombard,57
哄,hōng,the roar of laughter,57
哄堂大笑,hōngtángdàxiào,the whole room laughing,57
烘干,hōnggān,to dry over heat,57
烘托,hōngtuō,to throw into sharp relief,57
弘扬,hóngyáng,to promote; to enhance,57
红灯,hóngdēng,red light,57
红火,hónghuo,flourishing; prosperous,57
红扑扑,hóngpūpū,flushed,57
红润,hóngrùn,rosy,57
红薯,hóngshǔ,sweet potato,57
红眼,hóngyǎn,to be jealous,57
宏观,hóngguān,macro-,57
宏伟,hóngwěi,magnificent,57
洪亮,hóngliàng,loud and clear; resonant,57
哄,hǒng,to coax,57
哄,hòng,to cause an uproar,57
喉咙,hóu∙lóng,throat,57
吼,hǒu,to roar,57
后备,hòubèi,adj. reserved; n. reserve,57
后备箱,hòubèixiāng,trunk,57
后代,hòudài,descendants,57
后盾,hòudùn,backing,57
后顾之忧,hòugùzhīyōu,trouble back home; worries about the future,57
后期,hòuqī,later times,57
后勤,hòuqín,logistics,57
后人,hòurén,descendant,57
后台,hòutái,backstage,57
后退,hòutuì,to retreat,57
后续,hòuxù,follow-up,57
后遗症,hòuyízhèng,(medicine) sequelae; (figurative) aftermath,58
后裔,hòuyì,descendant; offspring,58
后者,hòuzhě,the latter,58
厚道,hòudao,honest and kind,58
厚度,hòudù,thickness,58
候选人,hòuxuǎnrén,candidate,58
呼风唤雨,hūfēnghuànyǔ,to stir up trouble,58
呼唤,hūhuàn,to call,58
呼救,hūjiù,call for help,58
呼声,hūshēng,voice,58
呼应,hūyìng,to echo,58
呼吁,hūyù,to call on; to appeal to,58
忽高忽低,hūgāohūdī,suddenly high and suddenly low,58
忽悠,hūyou,to con; to dupe,58
胡闹,húnào,to make trouble; to run wild,58
胡说,húshuō,v. tell nonsense; n. nonsense,58
胡思乱想,húsīluànxiǎng,to indulge in flights of fancy; to let one's imagination run wild,58
湖泊,húpō,lake,58
糊,hú,to paste,58
糊涂,hútu,confused,58
互补,hùbǔ,to complement one another,58
互访,hùfǎng,to exchange visits,58
互信,hùxìn,to have mutual trust,58
互助,hùzhù,to provide mutual assistance,58
护理,hùlǐ,to care,58
花瓣,huābàn,petal,58
花卉,huāhuì,flowers and plants,58
花纹,huāwén,decorative design,58
花样,huāyàng,"pattern, design",58
划算,huásuàn,v. to be cost-effective; adj. cost-effective,59
华丽,huálì,gorgeous,59
华侨,huáqiáo,overseas Chinese,59
华裔,huáyì,Chinese,59
哗变,huábiàn,to mutiny,59
哗然,huárán,uproarious,59
滑冰,huábīng,to ice skate,59
滑稽,huá∙jī,funny,59
滑梯,huátī,slide,59
滑雪,huáxuě,to ski,59
化肥,huàféi,fertilizer,59
化身,huàshēn,incarnation,59
化纤,huàxiān,chemical fiber,59
化险为夷,huàxiǎnwéiyí,to turn a danger into safety; to avert disaster,59
化验,huàyàn,to do a lab test,59
化妆,huàzhuāng,make up,59
划时代,huàshídài,epoch-making,59
画册,huàcè,picture album,59
画龙点睛,huàlóngdiǎnjīng,to add the finishing touch,59
画蛇添足,huàshétiānzú,to draw a snake and add legs to it; to overdo,59
画展,huàzhǎn,art exhibition,59
话费,huàfèi,telephone bill,59
话筒,huàtǒng,microphone,59
话语,huàyǔ,discourse,59
怀抱,huáibào,v. to embrace; n. embrace,59
怀旧,huáijiù,to be nostalgic,59
怀里,huái li,in one's arms,59
怀孕,huáiyùn,pregnant,59
怀着,huáizhe,with child; carrying a child,59
槐树,huáishù,locust tree (Sophora japonica),59
坏事,huàishì,bad thing; evil deed,60
欢呼,huānhū,to cheer,60
欢聚,huānjù,to gather together,60
欢快,huānkuài,cheerful,60
欢声笑语,huānshēngxiàoyǔ,cheers and laughter,60
还款,huán kuǎn,v. to pay back; n. repayment,60
还原,huányuán,to restore to original condition; to reconstruct,60
环球,huánqiú,to be around the world,60
环绕,huánrào,to surround,60
缓,huǎn,to slow down; to postpone,60
缓和,huǎnhé,v. to relax; adj. relaxed,60
缓缓,huǎnhuǎn,slowly,60
缓慢,huǎnmàn,slow,60
幻觉,huànjué,illusion,60
幻影,huànyǐng,phantom,60
换成,huànchéng,to replace,60
换取,huànqǔ,to exchange,60
换位,huànwèi,to transpose,60
换言之,huànyánzhī,in other words,60
唤起,huànqǐ,to arouse,60
患,huàn,suffer from some disease,60
患病,huànbìng,suffer from illness,60
患有,huànyǒu,to suffer from,60
焕发,huànfā,to shine; to glow,60
荒,huāng,to neglect; to be out of practise,60
荒诞,huāngdàn,absurd; fantastical,60
荒凉,huāngliáng,desolate,60
荒谬,huāngmiù,absurd; preposterous,60
慌乱,huāngluàn,alarmed,60
慌张,huāng∙zhāng,agitated,60
皇宫,huánggōng,(imperial) palace,61
皇后,huánghòu,queen,61
皇上,huángshang,emperor; Your Majesty,61
皇室,huángshì,royal family; imperial court,61
黄昏,huánghūn,dusk,61
恍然大悟,huǎngrándàwù,to suddenly realize,61
晃,huǎng,to flash past; to dazzle,61
谎话,huǎnghuà,lie,61
谎言,huǎngyán,lie,61
晃,huàng,to shake,61
晃荡,huàngdang,to rock,61
灰,huī,n. ash; adj. grey,61
灰尘,huīchén,dust,61
灰心,huīxīn,to be discouraged,61
挥,huī,to wave,61
辉煌,huīhuáng,brilliant,61
回归,huíguī,to return,61
回扣,huíkòu,sales commission; a bribe,61
回馈,huíkuì,to give feedback; to repay a favor,61
回落,huíluò,to decline after a rise; to subside,61
回升,huíshēng,to rise again after a fall,61
回首,huíshǒu,to look back,61
回味,huíwèi,n. aftertaste; v. to reflect on,61
回想,huíxiǎng,to recall,61
回忆录,huíyìlù,memoir,61
悔恨,huǐhèn,to regret deeply,61
毁坏,huǐhuài,to destroy; to damage,61
毁灭,huǐmiè,to destroy; to exterminate,61
汇合,huìhé,to converge,61
汇集,huìjí,to collect,61
汇聚,huìjù,to converge,62
会场,huìchǎng,venue,62
会面,huìmiàn,to meet,62
会晤,huìwù,to have a meeting,62
会意,huìyì,to understand without being told explicitly,62
会诊,huìzhěn,to hold a medical consultation,62
绘声绘色,huìshēnghuìsè,vivid,62
贿赂,huìlù,v. to bribe; n. bribe,62
昏迷,hūnmí,to be in a coma,62
婚纱,hūnshā,wedding dress,62
婚姻,hūnyīn,marriage,62
浑身,húnshēn,all over (the body),62
魂,hún,soul,62
混凝土,hùnníngtǔ,concrete,62
混淆,hùnxiáo,to confuse,62
混浊,hùnzhuó,turbid,62
豁,huō,to give up; to sacrifice,62
豁出去,huōchuqu,to press one's luck,62
活该,huógāi,to deserve (punishment),62
活期,huóqī,current,62
活儿,huór,job,62
火暴,huǒbào,fiery,62
火锅,huǒguō,hot pot,62
火候,huǒhou,crucial moment,62
火花,huǒhuā,spark,62
火炬,huǒjù,torch,62
火辣辣,huǒlàlà,burning; scorching,62
火热,huǒrè,fiery,62
火山,huǒshān,volcano,62
火速,huǒsù,at top speed,62
火焰,huǒyàn,flame,63
火药,huǒyào,gunpowder,63
伙食,huǒ∙shí,meals; food,63
或多或少,huòduōhuòshǎo,more or less,63
货币,huòbì,currency,63
货车,huòchē,truck,63
货物,huòwù,goods,63
货运,huòyùn,freight,63
获胜,huòshèng,to win a victory,63
获悉,huòxī,to receive news of,63
祸害,huòhai,n. scourge; v. to damage,63
霍乱,huòluàn,cholera,63
豁达,huòdá,open-minded,63
几率,jīlǜ,probability,63
讥笑,jīxiào,to sneer at,63
饥饿,ji'è,hungry,63
机舱,jīcāng,cabin (of a plane),63
机v,jīdòng,motorized; locomotive,63
机灵,jīling,clever,63
机密,jīmì,adj. confidential; n. secret,63
机智,jīzhì,quick-witted,63
肌肤,jīfū,skin and muscle,63
积,jī,to amass; to accumulate,63
积淀,jīdiàn,v. to accumulate; n. sediment,63
积蓄,jīxù,v. to save up; n. savings,63
基本功,jīběngōng,basic skills,63
基层,jīcéng,grassroots,63
基因,jīyīn,gene,63
基于,jīyú,on account of,63
基准,jīzhǔn,benchmark,63
畸形,jīxíng,deformed; unbalanced,64
激发,jīfā,to excite,64
激光,jīguāng,laser,64
激化,jīhuà,to intensify,64
激活,jīhuó,to activate,64
激励,jīlì,to impel; to urge,64
激起,jīqǐ,to excite,64
激素,jīsù,hormone,64
及,jí,and,64
及其,jí qí,and its; their; his; her,64
及早,jízǎo,as soon as possible,64
吉普,jípǔ,jeep,64
吉他,jítā,guitar,64
吉祥物,jixiángwù,mascot,64
级别,jíbié,level,64
极度,jídù,extremely,64
极力,jílì,to do one's utmost,64
极少数,jíshǎoshù,very few,64
极为,jíwéi,extremely,64
极限,jíxiàn,limit,64
即,jí,that is; namely,64
即便,jíbiàn,even if,64
即可,jíkě,…and that will suffice,64
急剧,jíjù,sharp; sudden,64
急迫,jípò,urgent,64
急性,jíxìng,acute,64
急需,jíxū,to urgently need,64
急于,jíyú,to be eager to,64
急诊,jízhěn,v. provide emergency treatment; n. emergency,64
急转弯,jízhuǎnwān,sharp turn,64
棘手,jíshǒu,thorny (problem); troublesome,65
集会,jíhuì,n. assembly; v. to assemble,65
集结,jíjié,to assemble (esp. of troops),65
集邮,jíyóu,to collect stamps,65
集装箱,jízhuāngxiāng,container,65
集资,jízī,raise funds,65
嫉妒,jídù,to envy,65
挤压,jǐyā,to press; to squeeze,65
脊梁,jǐ∙liáng,spine,65
计,jì,n. count; v. to count,65
计策,jìcè,plan; ploy,65
计较,jìjiào,to haggle over; to argue,65
计时,jìshí,to time; to mark time,65
记号,jìhao,mark,65
记忆犹新,jìyìyóuxīn,fresh in one's mind; to remember vividly,65
纪录片,jìlùpiàn,documentary,65
纪念碑,jìniànbēi,monument,65
纪念馆,jìniànguǎn,memorial hall,65
纪念日,jìniànrì,anniversary,65
纪实,jìshí,v. to document events; n. documentation of events,65
技艺,jìyì,skill,65
忌,jì,to avoid,65
忌讳,jì∙huì,to taboo,65
忌口,jìkǒu,to avoid or abstain from certain food,65
剂,jì,n. dose; measure word for medicine,65
迹象,jìxiàng,sign,65
继,jì,to follow,65
继而,jì'ér,subsequently,65
继父,jìfù,stepfather,65
继母,jìmǔ,stepmother,66
祭,jì,to offer a sacrifice to,66
祭奠,jìdiàn,to offer sacrifices to one's ancestors; to commemorate the dead,66
祭祀,jìsì,to offer sacrifices (to gods or ancestors),66
寄托,jìtuō,entrust to the care of someone,66
寂静,jìjìng,silent,66
寂寞,jìmò,lonely,66
加紧,jiājǐn,to intensify,66
加剧,jiājù,to exacerbate,66
加深,jiāshēn,to deepen,66
加重,jiāzhòng,to aggravate,66
佳节,jiājié,festival,66
家伙,jiāhuo,guy,66
家家户户,jiājiāhùhù,each and every family,66
家教,jiājiào,tutor,66
家境,jiājìng,family background,66
家禽,jiāqín,poultry,66
家用,jiāyòng,n. home use; adj. domestic,66
家喻户晓,jiāyùhùxiǎo,well-known,66
家政,jiāzhèng,housekeeping,66
家族,jiāzú,family,66
嘉年华,jiāniánhuá,carnival,66
假定,jiǎdìng,to assume,66
假冒,jiǎmào,to pass oneself off as,66
假设,jiǎshè,v. to assume; suppposing that…; n. hypothesis,66
假使,jiǎshǐ,if,66
假装,jiǎzhuāng,to pretend,66
价位,jiàwèi,price,66
价值观,jiàzhíguān,value,66
驾,jià,to drive,67
驾车,jià chē,to drive,67
驾驭,jiàyù,to drive; to control,67
架势,jiàshi,posture; stance,67
架子,jiàzi,shelf,67
嫁,jià,(of a female) to marry (a male),67
嫁妆,jiàzhuang,dowry,67
尖端,jiānduān,n. tip; sharp pointed end; adj. cuttingedge; tip-top,67
尖锐,jiānruì,sharp; keen,67
奸诈,jiānzhà,treacherous,67
歼灭,jiānmiè,to annihilate,67
坚持不懈,jiānchíbúxiè,unremitting,67
坚韧,jiānrèn,tough; tenacious,67
坚实,jiānshí,solid,67
坚守,jiānshǒu,to hold fast; to stick to,67
坚信,jiānxìn,to firmly believe,67
坚硬,jiānyìng,hard,67
肩膀,jiānbǎng,shoulder,67
肩负,jiānfù,to shoulder,67
艰巨,jiānjù,arduous,67
艰苦奋斗,jiānkǔfèndòu,hard struggle,67
艰险,jiānxiǎn,perilous,67
艰辛,jiānxīn,arduous,67
监察,jiānchá,to inspect,67
监管,jiānguǎn,to supervise,67
监护,jiānhù,to act as a guardian; to watch over,67
监控,jiānkòng,to monitor,67
监视,jiānshì,to monitor,67
监狱,jiānyù,prison,67
兼,jiān,to hold two posts at the same time,67
兼顾,jiāngù,to take into account,68
兼任,jiānrèn,to hold a concurrent post,68
兼容,jiānróng,to be compatible,68
兼职,jiānzhí,part time,68
煎,jiān,to fry,68
拣,jiǎn,to pick; to select,68
检察,jiǎnchá,to inspect,68
检讨,jiǎntǎo,to make a self-criticism,68
减免,jiǎnmiǎn,to mitigate; to annul; to remit,68
减弱,jiǎnruò,to weaken,68
减速,jiǎnsù,to slow down,68
减压,jiǎnyā,to relieve stress,68
简称,jiǎnchēng,v. to abbreviate; n. abbreviation,68
简短,jiǎnduǎn,brief,68
简化,jiǎnhuà,to simplify,68
简洁,jiǎnjié,concise,68
简陋,jiǎnlòu,simple and crude,68
简体字,jiǎntǐzì,simplified Chinese character,68
简要,jiǎnyào,brief,68
简易,jiǎnyì,simple,68
见解,jiànjiě,opinion,68
见钱眼开,jiànqiányǎnkāi,wide-eyed at the sight of money; greedy,68
见仁见智,jiànrénjiànzhì,a matter of opinion; differing opinions,68
见识,jiànshi,v. to broaden one's experiences; n. experience,68
见外,jiànwài,to treat as an outsider,68
见效,jiànxiào,to be effective; to produce the desired effect,68
